X,Y,tunniste,objektinVoimassaoloaika,haetunDatanVoimassaoloaika,rata,ratanumero,ratakm,pituus,seuraavaKilometrimerkki,icon_url
24.6631615384601,64.0605881850779,1.2.246.586.1.41.1006973160119,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3160119,"087","697","1001",1.2.246.586.1.41.1006983160119,./0.png
0,0,1.2.246.586.1.41.1006973486004,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3486004,"514","697","1000",1.2.246.586.1.41.1006983486004,./0.png
28.4081515131424,64.6210635430663,1.2.246.586.1.41.1006973487026,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487026,"552","697","1000",1.2.246.586.1.41.1006983487026,./0.png
28.8087321938033,64.4271888168071,1.2.246.586.1.41.1006973487028,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487028,"554","697","1000",1.2.246.586.1.41.1006983487028,./0.png
25.0207766152986,64.6039941027903,1.2.246.586.1.41.10069823725541617054261,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.23725541617054261,TJA 025,"698","1001",1.2.246.586.1.41.10069923725541617054261,./0.png
30.0573559514626,63.0981076567106,1.2.246.586.1.41.1006983158070,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158070,"006","698","1000",1.2.246.586.1.41.1006993158070,./0.png
25.0237785910261,64.6043020631668,1.2.246.586.1.41.1006983158072,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158072,"008","698","1001",1.2.246.586.1.41.1006993158072,./0.png
24.6456357003528,64.0651090389955,1.2.246.586.1.41.1006983160119,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3160119,"087","698","999",1.2.246.586.1.41.1006993160119,./0.png
0,0,1.2.246.586.1.41.1006983486004,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3486004,"514","698","1000",1.2.246.586.1.41.1006993486004,./0.png
28.4219693917026,64.6276956408782,1.2.246.586.1.41.1006983487026,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487026,"552","698","1000",1.2.246.586.1.41.1006993487026,./0.png
28.829251154284,64.4283518642439,1.2.246.586.1.41.1006983487028,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487028,"554","698","1004",1.2.246.586.1.41.1006993487028,./0.png
0,0,1.2.246.586.1.41.10069923725541617054261,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.23725541617054261,TJA 025,"699",,,./0.png
30.0533219217268,63.1068817528618,1.2.246.586.1.41.1006993158070,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158070,"006","699","1000",1.2.246.586.1.41.1007003158070,./0.png
25.0329543152012,64.612338416489,1.2.246.586.1.41.1006993158072,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158072,"008","699","1000",1.2.246.586.1.41.1007003158072,./0.png
24.6267678042824,64.0685816077414,1.2.246.586.1.41.1006993160119,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3160119,"087","699","999",1.2.246.586.1.41.1007003160119,./0.png
25.0218113703547,64.6049098011794,1.2.246.586.1.41.1006993486004,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3486004,"514","699","992",1.2.246.586.1.41.1007003486004,./0.png
28.4322131644924,64.6354734631326,1.2.246.586.1.41.1006993487026,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487026,"552","699","1000",1.2.246.586.1.41.1007003487026,./0.png
28.848899354384,64.431339311173,1.2.246.586.1.41.1006993487028,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487028,"554","699","1000",1.2.246.586.1.41.1007003487028,./0.png
30.0422660546175,63.1140273757891,1.2.246.586.1.41.1007003158070,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158070,"006","700","1000",1.2.246.586.1.41.1007013158070,./0.png
25.0428160401057,64.6202471037572,1.2.246.586.1.41.1007003158072,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158072,"008","700","1001",1.2.246.586.1.41.1007013158072,./0.png
24.6090094524308,64.072947211038,1.2.246.586.1.41.1007003160119,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3160119,"087","700","1001",1.2.246.586.1.41.1007013160119,./0.png
25.0020342791116,64.6065170483711,1.2.246.586.1.41.1007003486004,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3486004,"514","700","1000",1.2.246.586.1.41.1007013486004,./0.png
28.4390936262244,64.6439187607242,1.2.246.586.1.41.1007003487026,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487026,"552","700","1000",1.2.246.586.1.41.1007013487026,./0.png
28.8684278802633,64.4343554835886,1.2.246.586.1.41.1007003487028,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487028,"554","700","1000",1.2.246.586.1.41.1007013487028,./0.png
30.0302869857694,63.1211141063146,1.2.246.586.1.41.1007013158070,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158070,"006","701","1000",1.2.246.586.1.41.1007023158070,./0.png
25.0526874226147,64.6281591891591,1.2.246.586.1.41.1007013158072,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158072,"008","701","1001",1.2.246.586.1.41.1007023158072,./0.png
24.5897325235601,64.0759075568303,1.2.246.586.1.41.1007013160119,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3160119,"087","701","1000",1.2.246.586.1.41.1007023160119,./0.png
24.9823088499719,64.6094612771727,1.2.246.586.1.41.1007013486004,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3486004,"514","701","1000",1.2.246.586.1.41.1007023486004,./0.png
28.4432695712271,64.6527134158061,1.2.246.586.1.41.1007013487026,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487026,"552","701","1000",1.2.246.586.1.41.1007023487026,./0.png
